"day","shipping_city","shipping_province","traffic_source","host","referrer","order_count","total_sales","Company.ID"
"11/17/2015","Branford","Connecticut","Direct","standdesk.co","www.standdesk.co/pages/faq",1,732.67,"ID3055"
"11/17/2015","Park City","Utah","Search Engine","google.com","www.google.com",1,2207.78,"ID4742"
"11/18/2015","Lawrence","Kansas","Direct",NA,NA,1,122.02,"ID4695"
"11/18/2015","Merrill","Wisconsin","Search Engine","google.com","www.google.com/url",1,745.5,"ID3877"
"11/19/2015","Uniontown","Ohio","Direct",NA,NA,1,19432.56,"ID4072"
"11/19/2015","Houston","Texas","Direct",NA,NA,1,5035.9,"ID4456"
"11/19/2015","Burbank","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,761.46,"ID1552"
"11/19/2015","Bellingham","Washington","Direct",NA,NA,1,1929.59,"ID2994"
"11/19/2015","Kalamazoo","Michigan","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,742.88,"ID1275"
"11/19/2015","Scotts Valley","California","Direct",NA,NA,1,953.82,"ID1989"
"11/19/2015","San Pedro","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,564.77,"ID4897"
"11/20/2015","Watsonville","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,1453.47,"ID4330"
"11/20/2015","Corvallis","Oregon","Direct",NA,NA,1,186.62,"ID5296"
"11/20/2015","Arlington","Virginia","Direct",NA,NA,1,2662.37,"ID1390"
"11/20/2015","Seattle","Washington","Search Engine","google.com","www.google.com/url",1,1269.64,"ID1546"
"11/20/2015","New York City","New York","Direct",NA,NA,1,11281.59,"ID2788"
"11/22/2015","Monrovia","California","Search Engine","google.com","www.google.com",1,67.33,"ID3750"
"11/23/2015","Anaheim","California","Direct",NA,NA,1,2651,"ID4413"
"11/23/2015","Newtonville","Massachusetts","Direct",NA,NA,1,70.3,"ID2837"
"11/23/2015","Los Angeles","California","Direct",NA,NA,1,1302.99,"ID1636"
"11/23/2015","Houston","Texas","Direct",NA,NA,1,598.59,"ID1276"
"11/23/2015","San Francisco","California","Direct",NA,NA,1,99.04,"ID4705"
"11/23/2015","Knoxville","Tennessee","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,763.19,"ID3748"
"11/23/2015","Washington","District Of Columbia","Direct",NA,NA,1,580.91,"ID2264"
"11/23/2015","Tulsa","Oklahoma","Direct",NA,NA,1,984.15,"ID4739"
"11/24/2015","Northport","New York","Direct",NA,NA,1,1579.94,"ID3478"
"11/24/2015","Burleson","Texas","Direct",NA,NA,1,946.7,"ID1111"
"11/24/2015","Manhattan","Kansas","Direct","standdesk.co","www.standdesk.co",1,705.48,"ID4022"
"11/24/2015","Philadelphia","Pennsylvania","Search Engine","google.com","www.google.com/url",1,743.98,"ID1627"
"11/24/2015","Torrance","California","Direct",NA,NA,1,269.32,"ID5001"
"11/25/2015","San Francisco","California","Direct",NA,NA,1,99.04,"ID4705"
"11/25/2015","Little Rock","Arkansas","Unknown","augur.io","cdn.augur.io/_.htm",1,563,"ID4036"
"11/27/2015","San Francisco","California","Search Engine","google.com","www.google.com",1,641.92,"ID1109"
"11/27/2015","South Portland","Maine","Direct",NA,NA,1,9755.43,"ID1274"
"11/27/2015","Crested Butte","Colorado","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,604.73,"ID3749"
"11/27/2015","Oxnard","California","Direct",NA,NA,1,133.09,"ID4332"
"11/27/2015","Escanaba","Michigan","Search Engine","yahoo.com","r.search.yahoo.com/_ylt=A0LEVxNXd1hWL6EAKBhXNyoA;_ylu=X3oDMTEyMjBlcW9qBGNvbG8DYmYxBHBvcwMxBHZ0aWQDQjExNzhfMQRzZWMDc3I-/RV=2/RE=1448667096/RO=10/RU=http%3a%2f%2fwww.standdesk.co%2f/RK=0/RS=PEOv15Tj1IispxQinDP_h0Wm0.4-",1,663.08,"ID1002"
"11/27/2015","Charlotte","North Carolina","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,648.45,"ID4745"
"11/28/2015","San Francisco","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,795.4,"ID2552"
"11/28/2015","Exton","Pennsylvania","Direct",NA,NA,1,223.25,"ID3022"
"11/28/2015","Richmond","Virginia","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1562/d33e4a2e72f02be5/29530/8d9f9ce7cbe5d4b1",1,1618.57,"ID2220"
"11/28/2015","Santa Monica","California","Search Engine","google.com","www.google.com",1,948.03,"ID2519"
"11/28/2015","Milford","New Hampshire","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,666.21,"ID4021"
"11/28/2015","Long Island City","New York","Search Engine","google.com","www.google.com",1,855.01,"ID3321"
"11/28/2015","San Jose","California","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1622/e13ddd7107869ed2/51834/85844fe5ba52e95e",1,635.06,"ID4963"
"11/28/2015","Sunnyvale","California","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1594/788306b3a422bcae/37616/797ce44ddeffe489",1,715.92,"ID2527"
"11/29/2015","Longmont","Colorado","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1562/d33e4a2e72f02be5/27128/d2a3b35dc33c519f",1,683.97,"ID1701"
"11/29/2015","Dallas","Texas","Direct",NA,NA,1,671.42,"ID2145"
"11/29/2015","Kissimmee","Florida","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1594/788306b3a422bcae/35628/259f1926ef80b80a",1,914.86,"ID4667"
"11/29/2015","Salt Lake City","Utah","Direct",NA,NA,1,590.24,"ID1845"
"11/30/2015","San Rafael","California","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1650/c49db42f15ea482d/63892/6d5d9fdb3d2c0f22",1,570.62,"ID3056"
"11/30/2015","Raleigh","North Carolina","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,707.88,"ID1550"
"11/30/2015","Seattle","Washington","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1650/c49db42f15ea482d/53198/b6b0547ab0539cb3",1,683.97,"ID1988"
"11/30/2015","Lancaster","Pennsylvania","Direct",NA,NA,1,880.01,"ID4024"
"11/30/2015","Burbank","California","Direct",NA,NA,1,118.24,"ID2520"
"11/30/2015","Atlanta","Georgia","Direct",NA,NA,1,667.88,"ID3609"
"11/30/2015","Chesapeake","Virginia","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1650/c49db42f15ea482d/59484/d44f2ca8766bfbb5",1,1761.81,"ID1412"
"11/30/2015","Salt Lake City","Utah","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,670.7,"ID3215"
"11/30/2015","Santa Cruz","California","Search Engine","google.com","www.google.com",1,554.43,"ID4082"
"11/30/2015","Santa Monica","California","Direct",NA,NA,1,3725.55,"ID3216"
"11/30/2015","Uniontown","Ohio","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1562/d33e4a2e72f02be5/28438/bddfb29d83bf8115",1,657.67,"ID3564"
"11/30/2015","Wayne","Pennsylvania","Search Engine","google.com","www.google.com",1,682.88,"ID3480"
"11/30/2015","Canton","Georgia","Direct","standdesk.co","www.standdesk.co",1,768.97,"ID5293"
"11/30/2015","Atlanta","Georgia","Direct",NA,NA,1,692.88,"ID1987"
"11/30/2015","San Francisco","California","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1594/788306b3a422bcae/36666/fe0b9198080acae1",1,597.71,"ID3224"
"11/30/2015","San Francisco","California","Direct","standdesk.co","www.standdesk.co/pages/faq",1,11768.15,"ID5292"
"11/30/2015","Greenville","North Carolina","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,855.01,"ID4738"
"11/30/2015","Lubbock","Texas","Unknown","infusionsoft.com","jk260.infusionsoft.com/app/linkClick/1634/db4067fe8830711c/58000/73533a8c80036995",1,869.79,"ID3845"
"11/30/2015","Marietta","Georgia","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,601.21,"ID1389"
"11/30/2015","Charleston","South Carolina","Direct",NA,NA,1,807.87,"ID1986"
"11/30/2015","Portland","Oregon","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,2198.32,"ID3479"
"11/30/2015","Fort Mill","South Carolina","Direct",NA,NA,1,732.87,"ID2590"
"12/1/2015","Cleveland","Ohio","Direct",NA,NA,1,673.45,"ID3614"
"12/1/2015","Los Angeles","California","Direct",NA,NA,1,622.4,"ID4455"
"12/1/2015","San Francisco","California","Direct","standdesk.co","www.standdesk.co/collections/accessories/products/anti-fatigue-mat-1",1,99.04,"ID4705"
"12/1/2015","Chino Valley","Arizona","Direct","standdesk.co","www.standdesk.co",1,520.99,"ID2314"
"12/1/2015","Chattanooga","Tennessee","Direct",NA,NA,1,579.93,"ID2143"
"12/1/2015","Soquel","California","Direct",NA,NA,1,513.75,"ID5291"
"12/1/2015","Olympia","Washington","Direct","standdesk.co","www.standdesk.co",1,429.28,"ID2595"
"12/1/2015","Albuquerque","New Mexico","Direct",NA,NA,1,1441.31,"ID2142"
"12/2/2015","Harrisburg","Pennsylvania","Direct",NA,NA,1,1203.9,"ID3096"
"12/2/2015","Hollister","California","Direct",NA,NA,1,661.93,"ID2470"
"12/2/2015","Alexandria","Virginia","Direct",NA,NA,1,880.01,"ID4454"
"12/2/2015","Los Angeles","California","Direct",NA,NA,1,723.16,"ID3477"
"12/2/2015","Saint Louis","Missouri","Direct",NA,NA,1,68.73,"ID2591"
"12/2/2015","Atlanta","Georgia","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,1309.12,"ID1110"
"12/3/2015","Durham","North Carolina","Search Engine","google.com","www.google.com/url",1,732.67,"ID3879"
"12/3/2015","Novato","California","Direct",NA,NA,1,710.72,"ID4331"
"12/4/2015","Portland","Maine","Direct",NA,NA,1,560.52,"ID5002"
"12/4/2015","San Francisco","California","Direct",NA,NA,1,6553.79,"ID1407"
"12/4/2015","Sartell","Minnesota","Direct","standdesk.co","www.standdesk.co/pages/faq",1,440.98,"ID3606"
"12/4/2015","Hayward","California","Search Engine","google.com","www.google.com",1,5681.59,"ID4896"
"12/5/2015","Mountain View","California","Direct","standdesk.co","www.standdesk.co",1,896.1,"ID1603"
"12/6/2015","Lynchburg","Virginia","Direct","standdesk.co","www.standdesk.co",1,735.8,"ID2474"
"12/6/2015","Park City","Utah","Search Engine","google.com","www.google.com",1,1114.29,"ID4742"
"12/7/2015","Auburn","California","Search Engine","google.com","www.google.com",1,678.73,"ID3829"
"12/7/2015","Dahlonega","Georgia","Direct",NA,NA,1,720.66,"ID3278"
"12/7/2015","Paoli","Pennsylvania","Direct",NA,NA,1,1472.3,"ID4150"
"12/7/2015","San Jose","California","Direct",NA,NA,2,1313.38,"ID3057"
"12/7/2015","San Francisco","California","Direct",NA,NA,1,8062.47,"ID4329"
"12/7/2015","Castle Rock","Colorado","Direct",NA,NA,1,639.71,"ID4018"
"12/8/2015","Moorhead","Minnesota","Direct",NA,NA,1,1027.26,"ID1357"
"12/8/2015","Seattle","Washington","Search Engine","google.com","www.google.com/url",1,568.45,"ID1546"
"12/8/2015","Richmond","California","Direct",NA,NA,1,546.36,"ID1107"
"12/8/2015","Santa Fe","New Mexico","Direct",NA,NA,1,667.84,"ID5163"
"12/8/2015","Los Angeles","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,2601.6,"ID3607"
"12/8/2015","Grapevine","Texas","Direct",NA,NA,1,149.99,"ID2214"
"12/9/2015","Seattle","Washington","Direct",NA,NA,1,1777.84,"ID1546"
"12/9/2015","Saint Thomas","Pennsylvania","Direct",NA,NA,1,766.12,"ID3018"
"12/9/2015","Milpitas","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,934.41,"ID1314"
"12/9/2015","Santa Barbara","California","Direct",NA,NA,1,561.44,"ID4608"
"12/10/2015","Birmingham","Michigan","Direct",NA,NA,2,1631.62,"ID4376"
"12/10/2015","Seattle","Washington","Direct",NA,NA,1,1049.04,"ID4108"
"12/10/2015","Kalamazoo","Michigan","Direct",NA,NA,1,897.11,"ID5238"
"12/10/2015","Montpelier","Vermont","Direct",NA,NA,1,601.17,"ID1551"
"12/10/2015","Vancouver","Washington","Search Engine","yahoo.com","r.search.yahoo.com/cbclk2/dWU9Q0M0MkI4QUFCNkNCNEQwQyZ1dD0xNDQ5Nzg3MjA0MTkzJnVvPTcwMTYyMjAwNjcmbHQ9MiZqZT1mNDkzZDY5YS05ZjhlLTExZTUtYWJiOS00ZjUzMmQyNTA5MjEtN2ZmMWZmNWJlNzAwJnVpPTE3My4xNjQuOTMuNDkmanQ9MTQ0OTc4NzIwNDIxNiZwcD1uMg--/RV=2/RE=1449816004/RO=10/RU=http%3a%2f%2f54005003.r.msn.com%2f%3fld%3dd3G_9wmrGKRfAVtN54M2YshTVUCUwdpHA7lgtXtLB2KAJ30IjIrYjpnqPpqx7rtmI03Dhoc1-SEzatddPNUOcbOK5SUo0UnfMLPdciASk6pRIrgs9T8nieiZlXikAwF9Adl_GjPB8j2DlnJO3bMXIXDtgwkeRPt_zsw0iQc85z2VLGxPc1%26u%3dwww.standdesk.co%252fproducts%252fbuild-your-standing-desk%253futm_source%253dbing%2526utm_medium%253dcpc%2526utm_campaign%253dBrand/RK=0/RS=qczAl5MdKqz9wyB.pKwGsXqj3SI-;_ylt=AwrTcdZE_2lW1ZYAeUAnnIlQ;_ylu=X3oDMTB2MmRzOHM3BGNvbG8DZ3ExBHBvcwMyBHZ0aWQDBHNlYwNvdi10b3A-;_ylc=X3IDMgRydAMx",1,565.03,"ID2014"
"12/11/2015","Burlington","Vermont","Search Engine","google.com","www.google.com",1,576.09,"ID3784"
